codigo,nome,precovenda,preco1,preco2,preco3,precocusto,customedio,estoque,estminimo,unidade,marca,familia,grupo,subgrupo,ncm,gtin,inativo
2100000000012,CHAVE TESTE FOXLUX,5.8,5.8,5.8,5.5,2.93,0,-14,0,UN,DIVERSOS,DIVERSOS,DIVERSOS,DIVERSOS,90303390,2100000000012,N
2890000040018,ADAPT PVC 20X1/2,1,1,1,1,0.51,0,17,20,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890000040018,N
2890000050017,ADAPT PVC 25X3/4,1,1,1,1,0.3,0.29,41,12,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890000050017,N
2890000060016,ADAPT PVC 32 X 1,2.9,2.9,2.8,2.8,1.41,0.9,35,6,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890000060016,N
2890000080014,ADAPT PVC 50 X11/2,6.5,6.5,6,6,1.62,7.96,-2,5,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890000080014,N
2890000120017,ADUELA MACARAN 15CM,259,259,0,0,150,225.73,1,0,UN,,,,,85183000,2890000120017,N
2890000220014,APLICADOR P/SILICONE THOMPSON/BESTFER,19.9,19.9,19.9,19.5,10.97,17.5,24,0,UN,,,,,82055900,2890000220014,N
2890000270019,ARAME FARPADO 250M,229,229,215,215,146,0,-4,1,UN,,,,,73130000,2890000270019,N
2890000290017,ARAME N-18 GALV,29.9,29.9,29,29,19.83,0,-20,0,UN,,,,,72172090,2890000290017,N
2890000300013,ARAME RECOZIDO 18,18.5,18.5,18,18,10.49,0,-80,0,KG,,,,,73130000,2890000300013,N
2890000320011,MANTA LIQUIDA VUCAN 4KG,85,85,84,82,50,0,-2,0,UN,,,,,68071000,2890000320011,N
2890000340019,AREIA,179,179,168,165,120,0,-270,0,M3,,,,,25051000,2890000340019,N
2890000370016,ARG 20KG AC-1QUARTZOLIT,16.5,16.5,16,16,8.34,0,-3,0,UN,,,,,38245000,2890000370016,N
2890000470013,CAIXA SIF 100X100X50 FORTLEV QUAD BR,14.8,14.8,14.5,14,8.22,7.64,-5,0,UN,,,,,39174090,2890000470013,N
2890000480012,BALDE P/CONCRETO,12,12,11.5,11,7.5,0,-102,0,UN,,,,,39269090,2890000480012,N
2890000530014,CALHA TIGRE VEDACAO,1.9,1.9,0,0,0,1.07,54,0,UN,,DIVERSOS,CONEXOES,CALHA,39174090,2890000530014,N
2890000550012,BASC ALUMINIO 50X50,82,82,80,80,52.19,0,-6,1,UN,,,,,76101000,2890000550012,N
2890000560011,BASC ALUMINIO 60X40,75,75,73,72,32.37,0,-1,1,UN,,,,,76101000,2890000560011,N
2890000590018,BASC ALUMINIO 80X80 3 ARTICUL,165,165,165,165,105,0,0,0,UN,,,,,76101000,2890000590018,N
